Ref;Val;Package;PosX;PosY;Rot;Side
C2;1uF;C_0805_2012Metric;13,081;-20,4724;90;top
C3;10uF;C_0805_2012Metric;25,3195;-37,372;90;top
C4;470uF;C_Elec_6.3x7.7;28,574;-24,2015;90;top
C5;0.1uF;C_0805_2012Metric;27,3789;-43,722;0;top
C6;10uF;C_0805_2012Metric;31,242;-33,655;180;top
D2;D_Schottky;D_SOD-123;26,7175;-41,055;180;top
H1;MountingHole_Pad;Pin_D1.0mm_L10.0mm;22,12418;-4,22246;0;top
J1;CONN_01X07;PinHeader_1x07_P2.54mm_Vertical;2,667;-2,7686;0;top
J4;TC2030-MCP-NL;TC2020-MCP-NL;8,978;-2,8724;90;top
J5;Conn_02x02_Odd_Even;PinHeader_2x02_P2.54mm_Vertical;28,234;-46,899;0;top
LED1;WIFI status;LED_0805_2012Metric;5,842;-20,4724;90;top
LED2;itho status;LED_0805_2012Metric;17,907;-20,4865;90;top
Q1;BSS138;SOT-23W;39,5986;-16,51;-90;top
Q2;BSS138;SOT-23W;35,6006;-16,51;-90;top
R1;R10K;R_0805_2012Metric;39,8018;-12,5954;90;top
R2;R10K;R_0805_2012Metric;35,814;-12,5954;-90;top
R3;R10K;R_0805_2012Metric;39,624;-20,432;-90;top
R4;R10K;R_0805_2012Metric;35,56;-20,432;-90;top
R5;R100;R_0805_2012Metric;20,32;-20,4865;90;top
R7;R10K;R_0805_2012Metric;15,494;-20,4865;90;top
R8;R10K;R_0805_2012Metric;10,668;-20,4724;90;top
R9;R100;R_0805_2012Metric;8,255;-20,4724;-90;top
R10;R10K;R_0805_2012Metric;23,478;-20,481;-90;top
R11;R1K;R_0805_2012Metric;28,1135;-37,3485;90;top
SW1;Fail safe;TS-1187;27,4824;-13,843;-90;top
SW2;Reset;TS-1187;21,082;-13,843;90;top
U1;ESP32-WROOM;ESP32-WROOM-32E;12,9196;-36,5746;180;top
U3;780xMT;Mornsun 780xMT;36,957;-39,751;-90;top