Designator;Val;Package;Mid X;Mid Y;Rotation;Layer
ATtiny1614;ATtiny1614-SS;SOIC-14_3.9x8.7mm_P1.27mm;21.463.000;-13.589.000;0.000000;top
C1;0,1uF;L_1206_3216Metric;21.590.000;-7.366.000;0.000000;top
Q1;BSS138;SOT-23;39.624.000;-15.875.000;270.000.000;top
Q2;BSS138;SOT-23;35.626.000;-15.875.000;270.000.000;top
R1;R10K;R_1206_3216Metric;39.217.600;-10.284.000;270.000.000;top
R2;R10K;R_1206_3216Metric;35.814.000;-10.284.000;90.000.000;top
R3;R10K;R_1206_3216Metric;39.243.000;-20.447.000;270.000.000;top
R4;R10K;R_1206_3216Metric;35.814.000;-20.447.000;270.000.000;top
R5;R100;R_1206_3216Metric;21.717.000;-41.529.000;0.000000;top
R6;R10K;R_1206_3216Metric;15.113.000;-12.446.000;90.000.000;top
STATUS1;LED;LED_1206_3216Metric;25.908.000;-36.449.000;270.000.000;top