Ref,Val,Package,PosX,PosY,Rot,Side
"ATtiny1614,""ATtiny1614-SS"",""SOIC-14_3.9x8.7mm_P1.27mm"",21.463000,-13.589000,0.000000,top"
"C1,""0,1uF"",""L_0805_2012Metric"",21.392000,-7.366000,0.000000,top"
"Q1,""BSS138"",""SOT-23"",39.624000,-15.875000,270.000000,top"
"Q2,""BSS138"",""SOT-23"",35.626000,-15.875000,270.000000,top"
"R1,""R10K"",""R_0805_2012Metric"",39.217600,-10.284000,270.000000,top"
"R2,""R10K"",""R_0805_2012Metric"",35.814000,-10.284000,90.000000,top"
"R3,""R10K"",""R_0805_2012Metric"",39.243000,-20.447000,270.000000,top"
"R4,""R10K"",""R_0805_2012Metric"",35.814000,-20.447000,270.000000,top"
"R5,""R100"",""R_0805_2012Metric"",21.717000,-41.529000,0.000000,top"
"R6,""R10K"",""R_0805_2012Metric"",15.113000,-12.621000,90.000000,top"
"STATUS1,""LED"",""LED_0805_2012Metric"",25.908000,-36.449000,270.000000,top"